timestamp,x,y,z
2025-03-18 15:48:21.238930+00:00,0.12,0.18,0.06
2025-03-18 15:41:22.217228+00:00,-8.85,-0.73,-5.25
2025-03-18 15:38:05.711149+00:00,0.61,0.85,-0.06
2025-03-18 15:47:06.999705+00:00,44.98,-86.06,299.62
2025-03-18 15:49:51.454119+00:00,-0.24,0.06,0.18
2025-03-18 15:40:54.115168+00:00,-0.55,-0.79,0.18
2025-03-18 15:50:17.770223+00:00,0.12,0.18,0.06
2025-03-18 15:38:53.839639+00:00,-0.12,-0.12,0.55
2025-03-18 15:33:32.955240+00:00,0.0,0.18,0.06
2025-03-18 15:57:36.590037+00:00,0.31,-0.92,0.73
2025-03-18 15:39:46.232275+00:00,0.06,0.73,0.06
2025-03-18 15:53:32.023548+00:00,-45.78,190.8,-290.65
2025-03-18 15:37:11.542063+00:00,16.11,147.46,18.74
2025-03-18 15:39:07.868650+00:00,0.49,-0.55,-0.73
2025-03-18 15:53:40.011245+00:00,78.37,244.87,50.6
2025-03-18 15:54:40.141038+00:00,-4.15,-2.69,1.04
2025-03-18 15:51:37.746735+00:00,-79.41,-85.33,288.27
2025-03-18 15:57:42.605609+00:00,0.43,-0.24,0.18
2025-03-18 15:58:08.666485+00:00,0.12,0.18,0.12
2025-03-18 15:53:24.036812+00:00,-13.92,-172.42,280.58
2025-03-18 15:49:57.495950+00:00,0.06,0.12,0.06
2025-03-18 15:47:43.146590+00:00,-3.72,-7.63,-1.95
2025-03-18 15:54:30.495095+00:00,-19.35,-149.96,523.07
2025-03-18 15:52:45.839049+00:00,-41.14,-121.52,601.81
2025-03-18 15:52:51.884886+00:00,1.28,-34.73,447.57
2025-03-18 15:41:04.097327+00:00,0.79,0.18,0.0
2025-03-18 15:49:53.502471+00:00,-0.24,0.24,0.0
2025-03-18 15:52:57.933344+00:00,24.29,41.99,-195.62
2025-03-18 15:34:27.088035+00:00,-0.12,0.18,0.24
2025-03-18 15:46:52.943932+00:00,4.64,-1.77,3.48
2025-03-18 15:34:17.063594+00:00,0.31,0.18,0.0
2025-03-18 15:55:00.251356+00:00,-113.04,213.2,-213.68
2025-03-18 15:41:32.252297+00:00,14.16,8.06,-2.2
2025-03-18 15:49:35.363371+00:00,0.12,0.12,0.06
2025-03-18 15:54:36.230043+00:00,14.95,14.1,-5.62
2025-03-18 15:55:16.233927+00:00,-80.63,61.83,254.09
2025-03-18 15:35:23.231100+00:00,1.28,0.31,0.0
2025-03-18 15:47:25.125879+00:00,-27.22,21.24,-58.72
2025-03-18 15:52:13.790602+00:00,32.59,50.17,-394.29
2025-03-18 15:54:04.078666+00:00,6.71,-11.66,7.14
2025-03-18 15:34:53.157220+00:00,0.55,0.24,0.31
2025-03-18 15:48:57.283462+00:00,0.12,0.12,0.06
2025-03-18 15:37:49.599826+00:00,0.24,-0.31,0.06
2025-03-18 15:57:28.565184+00:00,-4.46,-24.17,-26.06
2025-03-18 15:36:51.475313+00:00,3.23,-1.34,0.31
2025-03-18 15:56:54.735704+00:00,-3.42,18.62,-16.54
2025-03-18 15:33:24.933343+00:00,0.73,0.18,0.0
2025-03-18 15:54:32.134468+00:00,-3.66,2.2,5.31
2025-03-18 15:39:47.906577+00:00,-0.98,1.22,0.24
2025-03-18 15:48:37.316344+00:00,0.12,0.12,0.06
2025-03-18 15:33:12.902253+00:00,0.43,-0.06,-0.12
2025-03-18 15:47:03.007251+00:00,0.49,1.34,0.06
2025-03-18 15:56:52.477033+00:00,-124.15,-33.14,110.53
2025-03-18 15:40:44.028294+00:00,1.04,-1.34,0.0
2025-03-18 15:49:49.393647+00:00,0.24,0.12,0.06
2025-03-18 15:35:39.273343+00:00,0.06,0.12,0.43
2025-03-18 15:51:01.599546+00:00,68.05,87.4,-117.13
2025-03-18 15:56:42.504337+00:00,0.12,0.18,0.0
2025-03-18 15:51:11.840299+00:00,392.27,254.58,-168.03
2025-03-18 15:47:47.080881+00:00,1.34,-8.91,41.99
2025-03-18 15:46:42.921494+00:00,5.86,1.83,0.49
2025-03-18 15:54:38.174674+00:00,-12.21,12.82,-6.84
2025-03-18 15:52:33.860976+00:00,-60.36,183.96,-577.33
2025-03-18 15:38:19.739584+00:00,-0.55,0.37,0.55
2025-03-18 15:53:18.201252+00:00,291.14,-51.94,-260.44
2025-03-18 15:33:47.047795+00:00,2.56,-0.12,-0.06
2025-03-18 15:34:55.187161+00:00,0.18,0.12,-0.12
2025-03-18 15:49:17.353951+00:00,0.12,0.18,0.06
