x,y,z,timestamp
0.06,0.12,0.06,1742284259.4795885
0.06,0.12,0.06,1742284261.4805155
0.12,0.12,0.06,1742284263.8292322
0.18,0.12,0.06,1742284265.5703871
0.12,0.18,0.06,1742284267.5094833
0.18,0.12,0.06,1742284269.509665
-0.55,-0.18,0.06,1742284271.5117292
0.18,0.12,0.06,1742284273.5589476
0.06,0.18,0.06,1742284275.6056843
0.12,0.12,0.06,1742284277.5514398
0.18,0.18,0.06,1742284279.6335526
0.12,0.18,0.0,1742284281.7795062
0.12,0.12,0.06,1742284283.5573065
0.18,0.12,0.06,1742284285.9485736
0.12,0.18,0.06,1742284287.793781
0.12,0.12,0.06,1742284289.738352
0.12,0.12,0.06,1742284291.61938
0.06,0.12,0.06,1742284293.962465
0.12,0.12,0.06,1742284295.7782903
0.06,0.12,0.06,1742284297.673514
0.12,0.12,0.06,1742284300.080663
0.12,0.12,0.06,1742284301.6732936
0.18,0.12,0.06,1742284303.573977
0.12,0.18,0.06,1742284305.6088076
0.12,0.12,0.06,1742284307.638881
0.18,0.18,0.12,1742284309.7448244
0.12,0.18,0.06,1742284311.6520474
0.18,0.12,0.06,1742284313.5990672
0.12,0.18,0.06,1742284315.644387
0.12,0.18,0.06,1742284317.9996352
0.12,0.18,0.06,1742284319.8444612
0.12,0.18,0.06,1742284321.6864867
0.12,0.12,0.06,1742284323.7338712
0.0,0.24,0.06,1742284325.6816833
0.06,0.18,0.06,1742284327.829707
0.06,0.12,0.06,1742284329.6737905
0.12,0.12,0.06,1742284331.925781
0.18,0.18,0.06,1742284333.7692204
0.06,0.12,0.06,1742284336.3738565
0.12,0.12,0.06,1742284337.7833576
0.12,0.12,0.0,1742284339.9129984
0.18,0.18,0.06,1742284341.8586144
0.06,0.12,0.06,1742284343.7032819
0.18,0.12,0.06,1742284345.9235559
0.06,0.12,0.06,1742284347.7987156
0.18,0.18,0.06,1742284349.7446148
0.12,0.12,0.06,1742284351.6910057
0.12,0.18,0.06,1742284354.050438
0.12,0.12,0.06,1742284355.7857585
0.12,0.12,0.06,1742284357.937667
0.18,0.12,0.06,1742284359.7808506
0.18,0.12,0.06,1742284361.828341
0.18,0.18,0.06,1742284363.7238574
0.12,0.12,0.06,1742284365.8206685
0.12,0.18,0.06,1742284367.7291121
0.12,0.12,0.06,1742284369.8136594
0.06,0.12,0.06,1742284372.0784526
0.18,0.18,0.06,1742284373.7916512
0.18,0.12,0.12,1742284375.963422
0.06,0.12,0.06,1742284377.7540922
0.12,0.18,0.0,1742284379.8520288
